source,question_id,subject,question,question_type,answer_options,num_options,question_length
EVS-v103,v103,POLITICS AND SOCIETY,Should individuals take more responsibility for providing for themselves or should the state take more responsibility?,Agreement,"['Strongly Individuals', 'Individuals', 'Neutral', 'State', 'Strongly State']",5,118
EVS-v104,v104,POLITICS AND SOCIETY,Should unemployed people have to take any job available or have the right to refuse a job?,Agreement,"['Must Take Any Job', 'Should Take Any Job', 'Neutral', 'Can Refuse', 'Should Refuse']",5,90
EVS-v105,v105,POLITICS AND SOCIETY,Is competition good or harmful?,Agreement,"['Very Good', 'Good', 'Neutral', 'Harmful', 'Very Harmful']",5,31
EVS-v106,v106,POLITICS AND SOCIETY,Should incomes be made more equal or should there be greater incentives for individual effort?,Agreement,"['Much More Equal', 'More Equal', 'Neutral', 'Greater Incentives', 'Much Greater Incentives']",5,94
EVS-v107,v107,POLITICS AND SOCIETY,Should private ownership or government ownership of business be increased?,Agreement,"['Strongly Private', 'Private', 'Neutral', 'Government', 'Strongly Government']",5,74
EVS-v113,v113,POLITICS AND SOCIETY,Would less importance placed on work in our lives be a good thing or bad thing?,GoodOrBad,"['Good', 'Bad', ""Don't Mind""]",3,79
EVS-v114,v114,POLITICS AND SOCIETY,Would greater respect for authority be a good thing or bad thing?,GoodOrBad,"['Good', 'Bad', ""Don't Mind""]",3,65
EVS-v117,v117,Political Trust,How confident are you in the education system?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,46
EVS-v123,v123,Political Trust,How confident are you in the social security system?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,52
EVS-v125,v125,Political Trust,How confident are you in the United Nations?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,44
EVS-v132,v132,Political Trust,How confident are you in social media?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,38
EVS-v133,v133,POLITICS AND SOCIETY,How essential is it that governments tax the rich and subsidize the poor as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,106
EVS-v134,v134,POLITICS AND SOCIETY,How essential is it that religious authorities interpret the laws as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,99
EVS-v135,v135,POLITICS AND SOCIETY,How essential is it that people choose their leaders in free elections as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,104
EVS-v136,v136,POLITICS AND SOCIETY,How essential is it that people receive state aid for unemployment as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,100
EVS-v137,v137,POLITICS AND SOCIETY,How essential is it that the army takes over when government is incompetent as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,109
EVS-v138,v138,POLITICS AND SOCIETY,How essential is it that civil rights protect people from state oppression as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,108
EVS-v139,v139,POLITICS AND SOCIETY,How essential is it that the state makes people's incomes equal as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,97
EVS-v140,v140,POLITICS AND SOCIETY,How essential is it that people obey their rulers as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,83
EVS-v141,v141,POLITICS AND SOCIETY,How essential is it that women have the same rights as men as a characteristic of democracy?,Importance,"['Not Essential', 'Slightly Essential', 'Moderately Essential', 'Very Essential', 'Extremely Essential']",5,92
EVS-v146,v146,POLITICS AND SOCIETY,"Is having experts, not government, make decisions a good or bad way of governing?",GoodOrBad,"['Very Good', 'Good', 'Bad', 'Very Bad']",4,81
EVS-v149,v149,MORAL VALUES,Can claiming state benefits which you are not entitled to be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,71
EVS-v150,v150,MORAL VALUES,Can cheating on tax be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,33
EVS-v151,v151,MORAL VALUES,Can taking drugs marijuana or hashish be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,51
EVS-v152,v152,MORAL VALUES,Can someone accepting a bribe be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,43
EVS-v153,v153,MORAL VALUES,Can homosexuality be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,31
EVS-v154,v154,MORAL VALUES,Can abortion be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,26
EVS-v155,v155,MORAL VALUES,Can divorce be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,25
EVS-v156,v156,MORAL VALUES,Can euthanasia be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,28
EVS-v157,v157,MORAL VALUES,Can suicide be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,25
EVS-v158,v158,MORAL VALUES,Can having casual sex be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,35
EVS-v159,v159,MORAL VALUES,Can avoiding a fare on public transport be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,53
EVS-v160,v160,MORAL VALUES,Can prostitution be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,30
EVS-v161,v161,MORAL VALUES,Can artificial insemination or in-vitro fertilization be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,67
EVS-v162,v162,MORAL VALUES,Can political violence be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,36
EVS-v163,v163,MORAL VALUES,Can death penalty be justified?,Acceptance,"['Never Justifiable', 'Rarely Justifiable', 'Sometimes Justifiable', 'Often Justifiable', 'Always Justifiable']",5,31
EVS-v184,v184,POLITICS AND SOCIETY,What is the impact of immigrants on a country's development?,GoodOrBad,"['Very Good', 'Good', 'Bad', 'Very Bad']",4,60
EVS-v185,v185,POLITICS AND SOCIETY,Do immigrants take jobs away from citizens?,Agreement,"['Definitely Take Jobs', 'Take Jobs', 'Neutral', 'Do Not Take Jobs', 'Definitely Do Not Take Jobs']",5,43
EVS-v186,v186,POLITICS AND SOCIETY,Do immigrants make crime problems worse?,Agreement,"['Much Worse', 'Worse', 'Neutral', 'Do Not Make Worse', 'Much Better']",5,40
