question_id,question_var_id,answer_var_id,question,answer_options,num_scale,scale_type,question_type,subject,source,original_answering_options
1,1,1,Should individuals take more responsibility for providing for themselves or should the state take more responsibility?,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v103,"['Strongly Individuals', 'Individuals', 'Neutral', 'State', 'Strongly State']"
1,1,2,Should individuals take more responsibility for providing for themselves or should the state take more responsibility?,"['Strongly agree', 'Moderately agree', 'Moderately disagree', 'Strongly disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v103,"['Strongly Individuals', 'Individuals', 'Neutral', 'State', 'Strongly State']"
1,1,3,Should individuals take more responsibility for providing for themselves or should the state take more responsibility?,"['Absolutely agree', 'Partly agree', 'Partly disagree', 'Absolutely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v103,"['Strongly Individuals', 'Individuals', 'Neutral', 'State', 'Strongly State']"
1,1,4,Should individuals take more responsibility for providing for themselves or should the state take more responsibility?,"['Completely agree', 'Largely agree', 'Largely disagree', 'Completely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v103,"['Strongly Individuals', 'Individuals', 'Neutral', 'State', 'Strongly State']"
1,1,5,Should individuals take more responsibility for providing for themselves or should the state take more responsibility?,"['Totally agree', 'Mostly agree', 'Neither agree nor disagree', 'Mostly disagree', 'Totally disagree']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v103,"['Strongly Individuals', 'Individuals', 'Neutral', 'State', 'Strongly State']"
2,1,1,Should unemployed people have to take any job available or have the right to refuse a job?,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v104,"['Must Take Any Job', 'Should Take Any Job', 'Neutral', 'Can Refuse', 'Should Refuse']"
2,1,2,Should unemployed people have to take any job available or have the right to refuse a job?,"['Strongly agree', 'Moderately agree', 'Moderately disagree', 'Strongly disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v104,"['Must Take Any Job', 'Should Take Any Job', 'Neutral', 'Can Refuse', 'Should Refuse']"
2,1,3,Should unemployed people have to take any job available or have the right to refuse a job?,"['Absolutely agree', 'Partly agree', 'Partly disagree', 'Absolutely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v104,"['Must Take Any Job', 'Should Take Any Job', 'Neutral', 'Can Refuse', 'Should Refuse']"
2,1,4,Should unemployed people have to take any job available or have the right to refuse a job?,"['Completely agree', 'Largely agree', 'Largely disagree', 'Completely disagree']","[1.0, 0.33333333, -0.33333333, -1.0]",4-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v104,"['Must Take Any Job', 'Should Take Any Job', 'Neutral', 'Can Refuse', 'Should Refuse']"
2,1,5,Should unemployed people have to take any job available or have the right to refuse a job?,"['Totally agree', 'Mostly agree', 'Neither agree nor disagree', 'Mostly disagree', 'Totally disagree']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-bipolar,Agreement,POLITICS AND SOCIETY,EVS-v104,"['Must Take Any Job', 'Should Take Any Job', 'Neutral', 'Can Refuse', 'Should Refuse']"
